qa_id,legacy_source_chunk,gold_citation,parent_id,parent_canonical_citation,mapping_status,mapping_method,match_score,source_token_coverage,review_note
QA_0000,CHUNK_0003,Guidance material [01],EU_2021_2082_ART_6,Article 6,rewrite_required,qa_override,0.487188,0.528302,"Editorial source is outside the legal corpus; the date can be re-grounded in Article 6, but wording must be reviewed."
QA_0001,CHUNK_0003,Guidance material [01],EU_2021_2082_ART_6,Article 6,excluded_invalid_source,qa_override,0.487188,0.528302,"Question concerns the editor contact address, not aviation-regulation QA."
QA_0002,CHUNK_0009,Section 1.3,GM_EU_376_2014_SEC_1_3,GM 1.3,excluded_invalid_source,qa_override,0.565021,0.488435,Generated from table-of-contents text rather than evidence; answer is tautological.
QA_0003,CHUNK_0009,Section 2.2,GM_EU_376_2014_SEC_2_2,GM 2.2,excluded_invalid_source,qa_override,0.565021,0.488435,Generated from table-of-contents text rather than evidence; answer is tautological.
QA_0004,CHUNK_0009,Section 2.3,GM_EU_376_2014_SEC_2_3,GM 2.3,excluded_invalid_source,qa_override,0.565021,0.488435,Generated from table-of-contents text rather than evidence; answer is tautological.
QA_0005,CHUNK_0012,Article 1(1),EU_376_2014_ART_1,Article 1,auto_mapped,parent_contained_by_legacy,0.970361,0.96063,
QA_0006,CHUNK_0012,Article 1(2),EU_376_2014_ART_1,Article 1,auto_mapped,parent_contained_by_legacy,0.970361,0.96063,
QA_0007,CHUNK_0012,Article 1(1)(a) and (b),EU_376_2014_ART_1,Article 1,auto_mapped,parent_contained_by_legacy,0.970361,0.96063,
QA_0008,CHUNK_0013,Article 2(1),EU_376_2014_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.994047,0.991708,
QA_0009,CHUNK_0013,Article 2(7),EU_376_2014_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.994047,0.991708,
QA_0010,CHUNK_0013,Article 2(14),EU_376_2014_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.994047,0.991708,
QA_0011,CHUNK_0014,Article 3(1),EU_376_2014_ART_3,Article 3,auto_mapped,parent_contained_by_legacy,0.987892,0.983402,
QA_0012,CHUNK_0014,Article 3(2),EU_376_2014_ART_3,Article 3,auto_mapped,parent_contained_by_legacy,0.987892,0.983402,
QA_0013,CHUNK_0014,Article 3(2),EU_376_2014_ART_3,Article 3,auto_mapped,parent_contained_by_legacy,0.987892,0.983402,
QA_0014,CHUNK_0015,Article 4(1),EU_376_2014_ART_4,Article 4,auto_mapped,parent_contained_by_legacy,0.996131,0.994553,
QA_0015,CHUNK_0015,Article 4(2) and Article 4(3),EU_376_2014_ART_4,Article 4,auto_mapped,parent_contained_by_legacy,0.996131,0.994553,
QA_0016,CHUNK_0015,Article 4(4),EU_376_2014_ART_4,Article 4,auto_mapped,parent_contained_by_legacy,0.996131,0.994553,
QA_0017,CHUNK_0016,Article 5(1),EU_376_2014_ART_5,Article 5,auto_mapped,parent_contained_by_legacy,0.992608,0.989691,
