qa_id,audit_decision,parent_id,gold_child_ids,question,reference_answer,acceptable_citation,audit_notes
QA_0003,excluded_invalid,GM_EU_376_2014_SEC_2_2,,Am I under the legal obligation to report occurrences?,"Yes, individuals are under a legal obligation to report occurrences as specified in Section 2.2 of the regulation.",Section 2.2,Generated from table-of-contents text; the reference answer is tautological and not evidence-grounded.
QA_0011,ai_rewritten_supported,EU_376_2014_ART_3,EU_376_2014_ART_3__C0001;EU_376_2014_ART_3__C0002;EU_376_2014_ART_3__C0003;EU_376_2014_ART_3__C0004;EU_376_2014_ART_3__C0005;EU_376_2014_ART_3__C0006;EU_376_2014_ART_3__C0007,What subject matter is laid down in Article 3(1) of Regulation (EU) No 376/2014?,Article 3(1) lays down rules on occurrence reporting; analysis and follow-up; protection of aviation professionals; appropriate use of safety information; integration into the European Central Repository; and dissemination of anonymised information to improve aviation safety.,Article 3(1),The original question incorrectly attributed the provision to Regulation (EU) 2018/1139.
QA_0062,ai_rewritten_supported,EU_376_2014_ART_20,EU_376_2014_ART_20__C0001;EU_376_2014_ART_20__C0002,How does Regulation (EU) No 376/2014 interact with rules on access to documents and personal-data protection?,"Except for the stricter access rules in Articles 10 and 11, Regulation (EU) No 376/2014 applies without prejudice to Regulation (EC) No 1049/2001. It also applies without prejudice to national measures implementing Directive 95/46/EC and in accordance with Regulation (EC) No 45/2001.",Article 20(1)-(2),The original citation named only paragraph 1 although the answer also relied on paragraph 2.
QA_0080,ai_rewritten_supported,EU_2015_1018_ANNEX_I,EU_2015_1018_ANNEX_I__C0001,Does the activity category under which an occurrence is listed limit whether it must be reported?,"No. The Annex groups occurrences under activities where they are normally observed, but an occurrence must still be reported when it takes place outside the category under which it is listed.","Annex I, Remark",The original answer added an unrelated endangerment formulation taken from individual occurrence examples.
QA_0083,ai_rewritten_supported,EU_2015_1018_ANNEX_II,EU_2015_1018_ANNEX_II__C0022,"Which maintenance-related occurrence is listed in Annex II, item 3.14?",The listed occurrence is releasing an aircraft to service from maintenance where there is non-compliance that endangers flight safety.,"Annex II, item 3.14",The source identifies a reportable occurrence; it does not itself formulate a release-to-service prohibition.
QA_0176,ai_rewritten_supported,GM_EU_376_2014_SEC_3_1,GM_EU_376_2014_SEC_3_1__C0001;GM_EU_376_2014_SEC_3_1__C0002,What does Regulation 376/2014 require organisations to do with occurrence information?,"It requires organisations to collect, analyse and follow up occurrences as part of their safety management systems and to transfer certain occurrences to their competent authority.",GM 3.1,The original citation incorrectly pointed to Section 1.1.
QA_0183,ai_rewritten_supported,GM_EU_376_2014_SEC_3_4,GM_EU_376_2014_SEC_3_4__C0005;GM_EU_376_2014_SEC_3_4__C0006,When does the reporting period start for design or production organisations?,"For design or production organisations, the reporting period starts when the process of identifying an unsafe or potentially unsafe condition concludes. The 72-hour reporting period is counted from that point.",GM 3.4,The original citation incorrectly pointed to Section 2.2.
QA_0193,ai_rewritten_supported,GM_EU_376_2014_SEC_3_9,GM_EU_376_2014_SEC_3_9__C0006,What should organisations aim to provide in their initial occurrence report?,"They should make the initial report as complete as possible, especially its safety assessment, because not every report will receive a follow-up report.",GM 3.9,The original citation incorrectly pointed to Section 3.10.
QA_0213,ai_rewritten_supported,GM_EU_376_2014_SEC_4_2,GM_EU_376_2014_SEC_4_2__C0003;GM_EU_376_2014_SEC_4_2__C0004,How should a competent authority handle occurrences reported by organisations and individuals?,"It should handle occurrences reported under Regulation 376/2014 in the same manner whether they are mandatory or voluntary, including occurrences reported directly by individuals.",GM 4.2,The original citation incorrectly pointed to Section 3.7.
QA_0248,ai_rewritten_supported,EU_376_2014_ART_4,EU_376_2014_ART_4__C0030,Who must report when the pilot in command is unable to report an occurrence?,"When the pilot in command is unable to report, another crew member next in the chain of command must report the occurrence, subject to the aircraft and operator scope stated in Article 4(6)(a).",Article 4(6)(a),The original negative question implied an exemption rather than a transfer to the next crew member.
QA_0258,ai_rewritten_supported,EU_376_2014_ART_6,EU_376_2014_ART_6__C0014;EU_376_2014_ART_6__C0015,What information must competent authorities store in the national database?,They must store occurrence reports drawn up from details collected under Articles 4 and 5. Relevant information on accidents and serious incidents collected or issued by safety investigation authorities must also be stored there.,Article 6(6)-(7),The original answer invented consequences of non-storage that are not stated in the cited clauses.
QA_0263,ai_rewritten_supported,EU_376_2014_ART_7,EU_376_2014_ART_7__C0004;EU_376_2014_ART_7__C0005;EU_376_2014_ART_7__C0006;EU_376_2014_ART_7__C0011;EU_376_2014_ART_7__C0015,What database-format requirements and support responsibilities are specified in Article 7(4) and Article 7(8)?,The relevant databases must use formats that are standardised for information exchange and compatible with ECCAIRS and the ADREP taxonomy. The Commission and the Agency must support Member-State competent authorities with data integration and provide that support in a way that contributes to harmonised data entry.,Article 7(4) and 7(8),The original answer asserted a direct dependency and failure consequence not stated in the provisions.
QA_0265,ai_rewritten_supported,EU_376_2014_ART_13,EU_376_2014_ART_13__C0003;EU_376_2014_ART_13__C0004;EU_376_2014_ART_13__C0005,What must an organisation do after its analysis identifies appropriate corrective or preventive action for a safety deficiency?,It must implement the action in a timely manner and establish a process to monitor its implementation and effectiveness.,Article 13(2),The original final sentence claimed that failure to analyse negates the obligation; that consequence is not stated.
QA_0272,ai_rewritten_supported,EU_376_2014_ART_15,EU_376_2014_ART_15__C0003;EU_376_2014_ART_15__C0004;EU_376_2014_ART_15__C0005;EU_376_2014_ART_15__C0006,For what purposes may information derived from occurrence reports be used under Article 15(2)?,"It may be used only for the purpose for which it was collected. Member States, the Agency and organisations must not use or make occurrence information available to attribute blame or liability, or for a purpose other than maintaining or improving aviation safety.",Article 15(2),The original answer invented a general national-law exception.
QA_0277,ai_rewritten_supported,EU_376_2014_ART_16,EU_376_2014_ART_16__C0004,What must Member States do regarding personal details and disidentified information in national occurrence databases?,"Member States must ensure that personal details are never recorded in the national database referred to in Article 6(6), and must make the disidentified information available to relevant parties so they can discharge aviation-safety improvement obligations.",Article 16(3),"The original citation incorrectly added Article 16(6), which concerns proceedings."
QA_0278,ai_rewritten_supported,EU_376_2014_ART_16,EU_376_2014_ART_16__C0019;EU_376_2014_ART_16__C0020;EU_376_2014_ART_16__C0021,What duties do organisations and the designated Member-State body have in implementing just-culture protections?,"After consulting staff representatives, each organisation must adopt internal rules describing how just-culture principles, particularly paragraph 9, are guaranteed and implemented. The body designated by the Member State is responsible for implementing paragraphs 6, 9 and 11 and may ask to review those internal rules before implementation.",Article 16(11)-(12),The original answer described review as mandatory rather than something the designated body may request.
