qa_id,question,reference_answer,gold_citation,parent_id,parent_mapping_status,review_priority,top_score,score_margin,candidate_child_ids,candidate_citations,candidate_scores,top_evidence_preview,review_decision,gold_child_ids,answer_support,review_notes
QA_0000,When does Commission Implementing Regulation (EU) 2021/2082 apply?,Commission Implementing Regulation (EU) 2021/2082 applies from 1 January 2023.,Guidance material [01],EU_2021_2082_ART_6,rewrite_required,rewrite,,,,,,,,,,"Editorial source is outside the legal corpus; the date can be re-grounded in Article 6, but wording must be reviewed."
QA_0001,What should be done if there are comments regarding the document?,Any comments should be sent to erules@easa.europa.eu.,Guidance material [01],EU_2021_2082_ART_6,excluded_invalid_source,excluded,,,,,,,,,,"Question concerns the editor contact address, not aviation-regulation QA."
QA_0002,When did Regulation 376/2014 become applicable?,Regulation 376/2014 became applicable on the date specified in the regulation itself. This information can be found in Section 1.3.,Section 1.3,GM_EU_376_2014_SEC_1_3,excluded_invalid_source,excluded,,,,,,,,,,Generated from table-of-contents text rather than evidence; answer is tautological.
QA_0003,Am I under the legal obligation to report occurrences?,"Yes, individuals are under a legal obligation to report occurrences as specified in Section 2.2 of the regulation.",Section 2.2,GM_EU_376_2014_SEC_2_2,excluded_invalid_source,excluded,,,,,,,,,,Generated from table-of-contents text rather than evidence; answer is tautological.
QA_0004,What types of occurrences shall be reported?,"The regulation specifies that certain types of occurrences must be reported, which are detailed in Section 2.3. This includes accidents and serious incidents.",Section 2.3,GM_EU_376_2014_SEC_2_3,excluded_invalid_source,excluded,,,,,,,,,,Generated from table-of-contents text rather than evidence; answer is tautological.
QA_0005,What is the main objective of Regulation (EU) No 376/2014?,"The main objective of Regulation (EU) No 376/2014 is to improve aviation safety by ensuring that relevant safety information relating to civil aviation is reported, collected, stored, protected, exchanged, disseminated, and analysed.",Article 1(1),EU_376_2014_ART_1,auto_mapped,low,0.686606,0.469563,EU_376_2014_ART_1__C0001;EU_376_2014_ART_1__C0002;EU_376_2014_ART_1__C0003;EU_376_2014_ART_1__C0005;EU_376_2014_ART_1__C0004,Article 1(1);Article 1(1);Article 1(1)(a);Article 1(1)(c);Article 1(1)(b),0.686606;0.217043;0.198957;0.169777;0.159084,"1.This Regulation aims to improve aviation safety by ensuring that relevant safety information relating to civil aviation is reported, collected, stored, protected, exchanged, disseminated and analysed.",,,,
QA_0006,What is the purpose of occurrence reporting according to this regulation?,The sole objective of occurrence reporting is the prevention of accidents and incidents and not to attribute blame or liability.,Article 1(2),EU_376_2014_ART_1,auto_mapped,low,0.784347,0.702377,EU_376_2014_ART_1__C0006;EU_376_2014_ART_1__C0002;EU_376_2014_ART_1__C0004;EU_376_2014_ART_1__C0001;EU_376_2014_ART_1__C0003,Article 1(2);Article 1(1);Article 1(1)(b);Article 1(1);Article 1(1)(a),0.784347;0.08197;0.058305;0.048365;0.0,2.The sole objective of occurrence reporting is the prevention of accidents and incidents and not to attribute blame or liability.,,,,
QA_0007,What actions does the regulation ensure regarding safety information?,"The regulation ensures that safety action is taken in a timely manner based on analysis of the information collected, and that the continued availability of safety information is maintained through rules on confidentiality and appropriate use.",Article 1(1)(a) and (b),EU_376_2014_ART_1,auto_mapped,high,0.492603,0.143283,EU_376_2014_ART_1__C0003;EU_376_2014_ART_1__C0004;EU_376_2014_ART_1__C0001;EU_376_2014_ART_1__C0002;EU_376_2014_ART_1__C0005,Article 1(1)(a);Article 1(1)(b);Article 1(1);Article 1(1);Article 1(1)(c),0.492603;0.34932;0.287617;0.214275;0.052005,"(a)that, where appropriate, safety action is taken in a timely manner based on analysis of the information collected;",,,,
QA_0008,What is the definition of 'reporter' according to Regulation (EU) No 376/2014?,'reporter' means a natural person who reports an occurrence or other safety-related information pursuant to this Regulation.,Article 2(1),EU_376_2014_ART_2,auto_mapped,low,0.723973,0.478044,EU_376_2014_ART_2__C0002;EU_376_2014_ART_2__C0010;EU_376_2014_ART_2__C0008;EU_376_2014_ART_2__C0007;EU_376_2014_ART_2__C0012,Article 2(1);Article 2(9);Article 2(7);Article 2(6);Article 2(11),0.723973;0.245929;0.235474;0.219904;0.213966,(1)‘reporter’ means a natural person who reports an occurrence or other safety-related information pursuant to this Regulation;,,,,
QA_0009,What does 'occurrence' refer to in the context of this regulation?,"'occurrence' means any safety-related event which endangers or which, if not corrected or addressed, could endanger an aircraft, its occupants or any other person and includes in particular an accident or serious incident.",Article 2(7),EU_376_2014_ART_2,auto_mapped,low,0.881098,0.628562,EU_376_2014_ART_2__C0008;EU_376_2014_ART_2__C0002;EU_376_2014_ART_2__C0017;EU_376_2014_ART_2__C0021;EU_376_2014_ART_2__C0005,Article 2(7);Article 2(1);Article 2(14);Article 2(18);Article 2(4),0.881098;0.252536;0.194427;0.150874;0.150828,"(7)‘occurrence’ means any safety-related event which endangers or which, if not corrected or addressed, could endanger an aircraft, its occupants or any other person and includes in particular an accident or serious incident;",,,,
