system,split,k,any_gold_child_recall,mean_evidence_recall,mrr,n,ndcg,parent_recall
BM25,test,1,0.5357142857142857,0.4022664835164835,0.5357142857142857,56,0.5357142857142857,0.6607142857142857
BM25,test,3,0.7142857142857143,0.6139423076923076,0.6220238095238094,56,0.5876841072402884,0.7857142857142857
BM25,test,5,0.75,0.6524038461538462,0.6309523809523808,56,0.5978669692605679,0.8214285714285714
BM25,test,10,0.8571428571428571,0.7359494671994672,0.6471088435374149,56,0.6324104875756171,0.8928571428571429
BM25,test,20,0.8571428571428571,0.7696158008658008,0.6471088435374149,56,0.6446605237981562,0.8928571428571429
Dense / 3-small,test,1,0.5178571428571429,0.38738553113553115,0.5178571428571429,56,0.5178571428571429,0.6607142857142857
Dense / 3-small,test,3,0.6071428571428571,0.528228021978022,0.5595238095238095,56,0.5358781387010948,0.7321428571428571
Dense / 3-small,test,5,0.6785714285714286,0.6187728937728938,0.5764880952380952,56,0.5630140106087654,0.7678571428571429
Dense / 3-small,test,10,0.8035714285714286,0.736063936063936,0.5945365646258504,56,0.6087357275887815,0.8214285714285714
Dense / 3-small,test,20,0.9107142857142857,0.8214285714285714,0.6005333273660344,56,0.6314620207300307,0.9285714285714286
Dense / 3-large,test,1,0.4642857142857143,0.3584353146853147,0.4642857142857143,56,0.4642857142857143,0.5892857142857143
Dense / 3-large,test,3,0.6428571428571429,0.5425678488178488,0.550595238095238,56,0.5428585738589912,0.7321428571428571
Dense / 3-large,test,5,0.7678571428571429,0.6770791708291709,0.5791666666666666,56,0.5892745753063874,0.8392857142857143
Dense / 3-large,test,10,0.8392857142857143,0.7750374625374625,0.5874716553287982,56,0.6166124757557521,0.875
Dense / 3-large,test,20,0.8928571428571429,0.8283591408591409,0.5916460523603381,56,0.6291007401740262,0.9107142857142857
Hybrid RRF,test,1,0.5535714285714286,0.42391150516150516,0.5535714285714286,56,0.5535714285714286,0.7142857142857143
Hybrid RRF,test,3,0.7857142857142857,0.6480873293373294,0.6607142857142857,56,0.624095317020716,0.8571428571428571
Hybrid RRF,test,5,0.8392857142857143,0.7212891275391276,0.6732142857142858,56,0.6469073348088237,0.9107142857142857
Hybrid RRF,test,10,0.9107142857142857,0.8172660672660673,0.6817460317460319,56,0.6817548761089217,0.9285714285714286
Hybrid RRF,test,20,0.9642857142857143,0.8871753246753247,0.685445588491807,56,0.7006041535065525,0.9642857142857143
Hybrid + reranker,test,1,0.7142857142857143,0.5570283882783883,0.7142857142857143,56,0.7142857142857143,0.8392857142857143
Hybrid + reranker,test,3,0.8928571428571429,0.7886446886446886,0.7946428571428571,56,0.7627096327568953,0.9285714285714286
Hybrid + reranker,test,5,0.8928571428571429,0.8113324175824176,0.7946428571428571,56,0.7647886545062,0.9285714285714286
Hybrid + reranker,test,10,0.9464285714285714,0.8557067932067932,0.8013888888888889,56,0.7812489887753152,0.9642857142857143
Hybrid + reranker,test,20,0.9642857142857143,0.8871753246753247,0.8026643990929706,56,0.7921855423884983,0.9642857142857143
