system,variant,qa_id,split,question_type,difficulty,gold_citation,gold_parent_id,rouge_l,content_above_floor,has_citation,legacy_citation_match,legacy_correct,parent_citation_correct,exact_citation_correct,gold_citation_ambiguous,gold_citation_resolvable,predicted_citations,missing_exact_units,retrieval_parent_hit
fewshot,1,QA_0057,development,exception,medium,Article 18(2),EU_376_2014_ART_18,0.321,1,1,0.5,1,1,0,0,1,Article 18(5) [376/2014],Article 18(2) [376/2014],
fewshot,1,QA_0012,development,scope,medium,Article 3(2),EU_376_2014_ART_3,0.1429,0,1,0.0,0,0,0,1,1,Article 1(1) [376/2014],Article 3(2) [376/2014],
fewshot,1,QA_0140,development,scope,medium,Article 4(6)(b),GM_EU_376_2014_SEC_2_2,0.3415,1,1,1.0,1,1,1,1,1,Article 4(6)(b) [376/2014],,
fewshot,1,QA_0125,test,obligation,medium,Article 3(2),GM_EU_376_2014_SEC_1_6,0.2564,1,1,0.0,0,0,0,1,1,Article 4(1) [376/2014],Article 3(2) [376/2014],
fewshot,1,QA_0114,test,scope,medium,Paragraph 3,GM_EU_376_2014_SEC_1_2,0.2545,1,1,0.0,0,,,0,0,Article 1(2) [376/2014],,
fewshot,1,QA_0071,test,obligation,medium,"Annex I, Section 1",EU_376_2014_ANNEX_I,0.2692,1,1,0.0,0,0,0,1,1,Article 4(1) [376/2014],Annex I [376/2014],
fewshot,1,QA_0052,development,exception,medium,Article 16(6),EU_376_2014_ART_16,0.2759,1,1,0.5,1,1,0,0,1,Article 16(1) [376/2014],Article 16(6) [376/2014],
fewshot,1,QA_0279,development,scope,hard,Article 16(6) and Article 16(10),EU_376_2014_ART_16,0.2642,1,1,0.5,1,1,1,0,1,Article 16(10) [376/2014]; Article 16(6) [376/2014],,
fewshot,1,QA_0044,test,obligation,easy,Article 14(1),EU_376_2014_ART_14,0.3704,1,1,0.0,0,0,0,0,1,Article 9(1) [376/2014],Article 14(1) [376/2014],
fewshot,1,QA_0216,test,timeline,easy,Article 9(1),GM_EU_376_2014_SEC_4_4,0.2535,1,1,0.0,0,0,0,0,1,Article 13(1) [376/2014],Article 9(1) [376/2014],
fewshot,1,QA_0016,development,obligation,medium,Article 4(4),EU_376_2014_ART_4,0.2716,1,1,0.0,0,0,0,1,1,Article 6(1) [376/2014],Article 4(4) [376/2014],
fewshot,1,QA_0015,development,responsibility,medium,Article 4(2) and Article 4(3),EU_376_2014_ART_4,0.2535,1,1,0.0,0,0,0,1,1,Article 5(1) [376/2014],Article 4(2) [376/2014]; Article 4(3) [376/2014],
fewshot,1,QA_0047,development,obligation,easy,Article 15(1),EU_376_2014_ART_15,0.2651,1,1,0.0,0,0,0,0,1,Article 16(1) [376/2014],Article 15(1) [376/2014],
fewshot,1,QA_0111,test,definition,medium,Recital 5,GM_EU_376_2014_SEC_1_1,0.2883,1,1,0.0,0,0,0,1,1,Article 1(1) [376/2014],Recital 5 [376/2014],
fewshot,1,QA_0119,test,scope,medium,GM to Reg. (EU) No 376/2014 and its IRs [06],GM_EU_376_2014_SEC_1_5,0.3191,1,1,0.0,0,,,0,0,Recital 5 [376/2014],,
fewshot,1,QA_0258,development,scope,hard,Article 6(6)-(7),EU_376_2014_ART_6,0.1644,1,1,0.5,1,1,0,1,1,Article 6(1) [376/2014],Article 6(6) [376/2014]; Article 6(7) [376/2014],
fewshot,1,QA_0013,development,exception,medium,Article 3(2),EU_376_2014_ART_3,0.2041,1,1,0.0,0,0,0,1,1,Article 2(2) [376/2014],Article 3(2) [376/2014],
fewshot,1,QA_0101,test,definition,medium,Article 2,EU_2021_2082_ART_2,0.1728,1,1,0.0,0,0,0,1,1,,Article 2 [376/2014],
fewshot,1,QA_0292,development,exception,hard,GM 2.2; Article 4(6)(b),GM_EU_376_2014_SEC_2_2,0.1702,1,1,0.5,1,0,0,1,1,Article 4(6)(b) [376/2014],GM 2.2 [376/2014],
