legacy_chunk_id,legacy_citation,legacy_type,qa_count,mapping_status,mapping_method,parent_id,parent_canonical_citation,match_score,cosine_similarity,source_token_coverage,score_margin,candidate_parent_ids
CHUNK_0000,PREAMBLE,PREAMBLE,0,review_required,fuzzy_review,EU_376_2014_RECITALS,Powers and recitals,0.631554,0.72276,0.592466,0.059503,EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_3_16;EU_2021_2082_RECITALS;GM_EU_376_2014_SEC_1_1
CHUNK_0001,Disclaimer,SECTION,0,review_required,fuzzy_review,EU_376_2014_RECITALS,Powers and recitals,0.674957,0.619335,0.698795,0.073501,EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_4_7;GM_EU_376_2014_SEC_3_16;GM_EU_376_2014_SEC_1_2
CHUNK_0002,Note from the editor,SECTION,0,review_required,fuzzy_review,EU_376_2014_RECITALS,Powers and recitals,0.563783,0.560436,0.565217,0.032879,EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_4_7;GM_EU_376_2014_SEC_3_16;GM_EU_376_2014_SEC_2_3
CHUNK_0003,Guidance material [01],GM,2,review_required,fuzzy_review,EU_376_2014_RECITALS,Powers and recitals,0.487188,0.391254,0.528302,0.011205,EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_3_16;GM_EU_376_2014_SEC_4_5;EU_376_2014_ANNEX_III
CHUNK_0004,Implementing and Delegated Regulations (IRs),SECTION,0,review_required,fuzzy_review,GM_EU_376_2014_SEC_1_3,GM 1.3,0.487595,0.345746,0.548387,0.034735,GM_EU_376_2014_SEC_1_3;GM_EU_376_2014_SEC_1_1;EU_2020_2034_RECITALS;EU_2021_2082_RECITALS;GM_EU_376_2014_SEC_2_6
CHUNK_0005,Article 3 of Regulation (EU) No 376/2014,ARTICLE,0,review_required,fuzzy_review,EU_2021_2082_RECITALS,Powers and recitals,0.646688,0.374923,0.763158,0.063744,EU_2021_2082_RECITALS;EU_2020_2034_RECITALS;EU_2015_1018_RECITALS;GM_EU_376_2014_SEC_1_1;EU_2021_2082_ANNEX
CHUNK_0006,Guidance Material (GM) (Commission GM) [01],GM,0,review_required,fuzzy_review,EU_2021_2082_RECITALS,Powers and recitals,0.513535,0.407863,0.558824,0.041869,EU_2021_2082_RECITALS;EU_376_2014_ANNEX_III;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_3;GM_EU_376_2014_SEC_1_1
CHUNK_0007,ANNEX III — REQUEST FOR INFORMATION FROM THE EUROPEAN CENTRAL REPOSITORY40,ANNEX,0,review_required,fuzzy_review,GM_EU_376_2014_SEC_3_6,GM 3.6,0.485842,0.134625,0.636364,0.002063,GM_EU_376_2014_SEC_3_6;EU_376_2014_RECITALS;EU_376_2014_ART_24;GM_EU_376_2014_SEC_1_1;GM_EU_376_2014_SEC_2_3
CHUNK_0008,Article 4 – Entry into force60,ARTICLE,0,review_required,fuzzy_review,EU_2020_2034_RECITALS,Powers and recitals,0.565911,0.330815,0.666667,0.031366,EU_2020_2034_RECITALS;EU_376_2014_RECITALS;EU_376_2014_ART_24;EU_2021_2082_RECITALS;GM_EU_376_2014_SEC_4_5
CHUNK_0009,Article 6 — Entry into force74,ARTICLE,3,review_required,fuzzy_review,GM_EU_376_2014_SEC_3_7,GM 3.7,0.565021,0.743721,0.488435,0.005609,GM_EU_376_2014_SEC_3_7;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_2_3;GM_EU_376_2014_SEC_4_7
CHUNK_0010,Cover Regulation,SECTION,0,review_required,fuzzy_review,EU_2015_1018_RECITALS,Powers and recitals,0.940314,0.801046,1.0,0.000499,EU_2015_1018_RECITALS;EU_2020_2034_RECITALS;EU_2021_2082_RECITALS;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_1_1
CHUNK_0011,Powers and recitals,SECTION,0,auto_mapped,parent_contained_by_legacy,EU_376_2014_RECITALS,Powers and recitals,0.999225,0.999993,0.998896,0.5333,EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_3_16;GM_EU_376_2014_SEC_4_7;GM_EU_376_2014_SEC_2_2
CHUNK_0012,Article 1 — Objectives,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_1,Article 1,0.970361,0.993066,0.96063,0.110628,EU_376_2014_ART_1;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_5_9;GM_EU_376_2014_SEC_4_7
CHUNK_0013,Article 2 — Definitions,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_2,Article 2,0.994047,0.999503,0.991708,0.206497,EU_376_2014_ART_2;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_3_16;GM_EU_376_2014_SEC_2_2
