qa_id,review_reason,split,source_class,audit_decision,question_type,difficulty,question,reference_answer,acceptable_citation,parent_id,gold_child_ids,gold_evidence_text,ai_audit_notes,reviewer_decision,question_clear_and_unambiguous,answer_fully_supported,citation_correct,gold_evidence_complete,alternative_acceptable_child_ids,alternative_evidence_sets_json,corrected_question,corrected_reference_answer,corrected_citation,corrected_parent_id,corrected_gold_child_ids,corrected_evidence_sets_json,review_notes,reviewer_name_or_role,review_date
QA_0003,exception_record,excluded,GM,excluded_invalid,obligation,medium,Am I under the legal obligation to report occurrences?,"Yes, individuals are under a legal obligation to report occurrences as specified in Section 2.2 of the regulation.",Section 2.2,GM_EU_376_2014_SEC_2_2,,,Generated from table-of-contents text; the reference answer is tautological and not evidence-grounded.,,,,,,,,,,,,,,,,
QA_0011,exception_record,development,ARTICLE,ai_rewritten_supported,definition,easy,What subject matter is laid down in Article 3(1) of Regulation (EU) No 376/2014?,Article 3(1) lays down rules on occurrence reporting; analysis and follow-up; protection of aviation professionals; appropriate use of safety information; integration into the European Central Repository; and dissemination of anonymised information to improve aviation safety.,Article 3(1),EU_376_2014_ART_3,EU_376_2014_ART_3__C0001;EU_376_2014_ART_3__C0002;EU_376_2014_ART_3__C0003;EU_376_2014_ART_3__C0004;EU_376_2014_ART_3__C0005;EU_376_2014_ART_3__C0006;EU_376_2014_ART_3__C0007,"EU_376_2014_ART_3__C0001 [Article 3(1)]: 1.This Regulation lays down rules on:
EU_376_2014_ART_3__C0002 [Article 3(1)(a)]: (a)the reporting of occurrences which endanger or which, if not corrected or addressed, would endanger an aircraft, its occupants, any other person, equipment or installation affecting aircraft operations; and the reporting of other relevant safety-related information in that context;
EU_376_2014_ART_3__C0003 [Article 3(1)(b)]: (b)analysis and follow-up action in respect of reported occurrences and other safety-related information;
EU_376_2014_ART_3__C0004 [Article 3(1)(c)]: (c)the protection of aviation professionals;
EU_376_2014_ART_3__C0005 [Article 3(1)(d)]: (d)appropriate use collected safety information;
EU_376_2014_ART_3__C0006 [Article 3(1)(e)]: (e)the integration of information into the European Central Repository; and
EU_376_2014_ART_3__C0007 [Article 3(1)(f)]: (f)the dissemination of anonymised information to interested parties for the purpose of providing such parties with the information they need in order to improve aviation safety.",The original question incorrectly attributed the provision to Regulation (EU) 2018/1139.,,,,,,,,,,,,,,,,
QA_0040,stratified_unchanged_ARTICLE_test,test,ARTICLE,ai_provisional_supported,timeline,medium,What is the timeline for transmitting information about requests to the Commission?,The information regarding each request and the action taken must be transmitted in a timely manner to the Commission whenever a request is received and/or action is taken.,Article 12(1),EU_376_2014_ART_12,EU_376_2014_ART_12__C0002;EU_376_2014_ART_12__C0001,"EU_376_2014_ART_12__C0002 [Article 12(1)]: That information shall be transmitted in a timely manner to the Commission whenever a request is received and/or action is taken.
EU_376_2014_ART_12__C0001 [Article 12(1)]: 1.The point of contact shall record each request received and the action taken pursuant to that request.",AI-assisted evidence proposal; independent human review pending.,,,,,,,,,,,,,,,,
QA_0047,stratified_unchanged_ARTICLE_development,development,ARTICLE,ai_provisional_supported,obligation,easy,What measures must Member States and organisations take regarding the confidentiality of occurrence details?,"Member States and organisations, in accordance with their national law, and the Agency shall take the necessary measures to ensure the appropriate confidentiality of the details of occurrences received by them. This is mandated by Article 15(1).",Article 15(1),EU_376_2014_ART_15,EU_376_2014_ART_15__C0001;EU_376_2014_ART_15__C0002,"EU_376_2014_ART_15__C0001 [Article 15(1)]: 1.Member States and organisations, in accordance with their national law, and the Agency shall take the necessary measures to ensure the appropriate confidentiality of the details of occurrences received by them pursuant to Articles 4, 5 and 10.
EU_376_2014_ART_15__C0002 [Article 15(1)]: Each Member State, each organisation established in a Member State, or the Agency shall process personal data only to the extent necessary for the purposes of this Regulation and without prejudice to national legal acts implementing Directive 95/46/EC.",AI-assisted evidence proposal; independent human review pending.,,,,,,,,,,,,,,,,
QA_0058,stratified_unchanged_ARTICLE_development,development,ARTICLE,ai_provisional_supported,obligation,easy,What must the Commission do after adopting a delegated act?,"As soon as it adopts a delegated act, the Commission shall notify it simultaneously to the European Parliament and to the Council. This notification is a requirement following the adoption of the act.",Article 18(4),EU_376_2014_ART_18,EU_376_2014_ART_18__C0004,"EU_376_2014_ART_18__C0004 [Article 18(4)]: 4.As soon as it adopts a delegated act, the Commission shall notify it simultaneously to the European Parliament and to the Council.",AI-assisted evidence proposal; independent human review pending.,,,,,,,,,,,,,,,,
QA_0062,exception_record,test,ARTICLE,ai_rewritten_supported,scope,medium,How does Regulation (EU) No 376/2014 interact with rules on access to documents and personal-data protection?,"Except for the stricter access rules in Articles 10 and 11, Regulation (EU) No 376/2014 applies without prejudice to Regulation (EC) No 1049/2001. It also applies without prejudice to national measures implementing Directive 95/46/EC and in accordance with Regulation (EC) No 45/2001.",Article 20(1)-(2),EU_376_2014_ART_20,EU_376_2014_ART_20__C0001;EU_376_2014_ART_20__C0002,"EU_376_2014_ART_20__C0001 [Article 20(1)]: 1.With the exception of Articles 10 and 11, which establish stricter rules on access to the data and information contained in the European Central Repository, this Regulation shall apply without prejudice to Regulation (EC) No 1049/2001.
EU_376_2014_ART_20__C0002 [Article 20(2)]: 2.This Regulation shall apply without prejudice to national legal acts implementing Directive 95/46/EC and in accordance with Regulation (EC) No 45/2001.",The original citation named only paragraph 1 although the answer also relied on paragraph 2.,,,,,,,,,,,,,,,,
QA_0063,hybrid_k20_residual,test,ARTICLE,ai_provisional_supported,exception,easy,What exceptions are noted in Regulation (EU) No 376/2014?,"Articles 10 and 11 of Regulation (EU) No 376/2014 establish stricter rules on access to the data and information contained in the European Central Repository, which are exceptions to the general application of the Regulation.",Article 20(1),EU_376_2014_ART_20,EU_376_2014_ART_20__C0001,"EU_376_2014_ART_20__C0001 [Article 20(1)]: 1.With the exception of Articles 10 and 11, which establish stricter rules on access to the data and information contained in the European Central Repository, this Regulation shall apply without prejudice to Regulation (EC) No 1049/2001.",AI-assisted evidence proposal; independent human review pending.,,,,,,,,,,,,,,,,
QA_0071,stratified_unchanged_ANNEX_test,test,ANNEX,ai_provisional_supported,obligation,medium,"What must organisations, Member States, and the Agency ensure when entering occurrence reports in their databases?","They must ensure that occurrence reports recorded in their databases contain at least the common mandatory data fields, which include information such as Headline, Filing Information, Date, Location, Classification, Narrative, Events, and Risk classification. This applies to both mandatorily reported and, to the best extent possible, voluntarily reported occurrences.",Section 1,EU_376_2014_ANNEX_I,EU_376_2014_ANNEX_I__C0003,"EU_376_2014_ANNEX_I__C0003 [Annex I, item 1]: When entering, in their respective databases, information on every occurrence mandatorily reported and, to the best extent possible, every occurrence voluntarily reported, organisations, Member States and the Agency must ensure that occurrence reports recorded in their databases contain at least the following information:",AI-assisted evidence proposal; independent human review pending.,,,,,,,,,,,,,,,,
QA_0080,exception_record;hybrid_k20_residual,test,ANNEX,ai_rewritten_supported,obligation,medium,Does the activity category under which an occurrence is listed limit whether it must be reported?,"No. The Annex groups occurrences under activities where they are normally observed, but an occurrence must still be reported when it takes place outside the category under which it is listed.","Annex I, Remark",EU_2015_1018_ANNEX_I,EU_2015_1018_ANNEX_I__C0001,"EU_2015_1018_ANNEX_I__C0001 [Annex I]: Remark: This Annex is structured in such a way that the pertinent occurrences are linked with categories of activities during which they are normally observed, according to experience, in order to facilitate the reporting of those occurrences. However, this presentation must not be understood as meaning that occurrences must not be reported in case they take place outside the category of activities to which they are linked in the list.",The original answer added an unrelated endangerment formulation taken from individual occurrence examples.,,,,,,,,,,,,,,,,
QA_0081,stratified_unchanged_ANNEX_test,test,ANNEX,ai_provisional_supported,scope,medium,What is included in the category of 'Take-off and landing' occurrences?,"The 'Take-off and landing' category includes occurrences such as taxiway or runway excursions, rejected take-offs, and inability to achieve required performance during take-off or landing. It also covers incidents like incorrect configuration settings during take-off or landing.","ANNEX I, 1.3",EU_2015_1018_ANNEX_I,EU_2015_1018_ANNEX_I__C0014;EU_2015_1018_ANNEX_I__C0015,"EU_2015_1018_ANNEX_I__C0014 [Annex I, item 1.3.5]: (5)Inability to achieve required or expected performance during take-off, go-around or landing.
EU_2015_1018_ANNEX_I__C0015 [Annex I, item 1.3.6]: (6)Actual or attempted take-off, approach or landing with incorrect configuration setting.",AI-assisted evidence proposal; independent human review pending.,,,,,,,,,,,,,,,,
QA_0083,exception_record,test,ANNEX,ai_rewritten_supported,obligation,medium,"Which maintenance-related occurrence is listed in Annex II, item 3.14?",The listed occurrence is releasing an aircraft to service from maintenance where there is non-compliance that endangers flight safety.,"Annex II, item 3.14",EU_2015_1018_ANNEX_II,EU_2015_1018_ANNEX_II__C0022,"EU_2015_1018_ANNEX_II__C0022 [Annex II, item 3.14]: (14)Releasing an aircraft to service from maintenance in case of any non-compliance which endangers the flight safety.",The source identifies a reportable occurrence; it does not itself formulate a release-to-service prohibition.,,,,,,,,,,,,,,,,
QA_0097,stratified_unchanged_ARTICLE_test,test,ARTICLE,ai_provisional_supported,timeline,easy,From when does Regulation (EU) 2020/2034 apply?,This Regulation shall apply from 1 January 2021.,Article 4,EU_2020_2034_ART_4,EU_2020_2034_ART_4__C0002;EU_2020_2034_ART_4__C0003;EU_2020_2034_ART_4__C0001;EU_2020_2034_ART_4__C0004,"EU_2020_2034_ART_4__C0002 [Article 4]: It shall apply from 1 January 2021.
EU_2020_2034_ART_4__C0003 [Article 4]: This Regulation shall be binding in its entirety and directly applicable in all Member States.
EU_2020_2034_ART_4__C0001 [Article 4]: This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.
EU_2020_2034_ART_4__C0004 [Article 4]: Done at Brussels, 6 October 2020.",AI-assisted evidence proposal; independent human review pending.,,,,,,,,,,,,,,,,
QA_0163,stratified_unchanged_GM_test,test,GM,ai_provisional_supported,obligation,medium,What is the key principle regarding the reporting of occurrences?,"The key principle is that reporting an occurrence through the reporting system of their organisation should be promoted and recognised as the normal channel for aviation professionals. However, direct reporting to a competent authority is not prevented if the reporter lacks confidence in their organisation's reporting system.",Article 4(6),GM_EU_376_2014_SEC_2_8,GM_EU_376_2014_SEC_2_8__C0005;GM_EU_376_2014_SEC_2_8__C0009,"GM_EU_376_2014_SEC_2_8__C0005 [GM 2.8]: Key principle Reporting an occurrence through the reporting system of their organisation should be promoted and recognised as the normal channel of reporting for aviation professionals.
GM_EU_376_2014_SEC_2_8__C0009 [GM 2.8]: Whereas the most direct reporting channel should be preferred (the organisation’s reporting system) and even promoted, it is understood that direct reporting to a competent authority by a person employed by an organisation or whose services are contracted or used by this organisation is not prevented. Indeed, situations may occur where reporters are not confident in the reporting system of their organisations and may wish to use another reporting channel. This is consistent with the objective of fostering a ‘Just Culture’ which is pursued by Regulation 376/2014. It aims, in particular, at ensuring confidence of aviation professionals in occurrence reporting systems and encourages them to reports any relevant safety information with a view to contribute to the enhancement of aviation safety and accidents prevention.",AI-assisted evidence proposal; independent human review pending.,,,,,,,,,,,,,,,,
QA_0176,exception_record;hybrid_k20_residual,test,GM,ai_rewritten_supported,obligation,easy,What does Regulation 376/2014 require organisations to do with occurrence information?,"It requires organisations to collect, analyse and follow up occurrences as part of their safety management systems and to transfer certain occurrences to their competent authority.",GM 3.1,GM_EU_376_2014_SEC_3_1,GM_EU_376_2014_SEC_3_1__C0001;GM_EU_376_2014_SEC_3_1__C0002,"GM_EU_376_2014_SEC_3_1__C0001 [GM 3.1]: See also Sections 1.1 and 2.1. The collection, analysis and follow-up of occurrences are part of organisations safety management systems. It contributes to the identification of risks and to the adoption of relevant mitigation actions by organisations.
GM_EU_376_2014_SEC_3_1__C0002 [GM 3.1]: Regulation 376/2014 requires the collection, analysis and follow-up by organisations, as well as the transfer of certain occurrences to their competent authority. One could question the safety benefit of transferring this information to the competent authority. Indeed the organisation has already addressed its safety risks in the context of its SMS.",The original citation incorrectly pointed to Section 1.1.,,,,,,,,,,,,,,,,
